Entrez_ID	Ensemble_ID_human	Gene_symbol_human	HGNC Gene Symbol	Uniprot Accession
136895	ENSG00000153790	C7orf31	C7orf31	Q8N865
219557	ENSG00000164645	C7orf62	TEX47	Q8TBZ9
388272	ENSG00000155330	C16orf87	C16orf87	Q6PH81
100190949	ENSG00000187658	C5orf52	C5orf52	A6NGY3
25943	ENSG00000088854	C20orf194	C20orf194	Q5TEA3
100128569	ENSG00000183397	C19orf71	C19orf71	A6NCJ1
100130988	ENSG00000164500	C7orf72	SPATA48	A4D263
283643	ENSG00000185347	C14orf80	TEDC1	Q86SX3
91298	ENSG00000133641	C12orf29	C12orf29	Q8N999
79173	ENSG00000132016	C19orf57	C19orf57	Q0VDD7
100130301	ENSG00000274443	C8orf89	C8orf89	P0DMQ9
317761	ENSG00000179008	C14orf39	C14orf39	Q8N1H7
146562	ENSG00000166246	C16orf71	C16orf71	Q8IYS4
200844	ENSG00000163689	C3orf67	C3orf67	Q6ZVT6
285237	ENSG00000179021	C3orf38	C3orf38	Q5JPI3
162681	ENSG00000166845	C18orf54	C18orf54	Q8IYD9
129852	ENSG00000177994	C2orf73	C2orf73	Q8N5S3
9674	ENSG00000235750	KIAA0040	KIAA0040	Q15053
389384	ENSG00000189325	C6orf222	C6orf222	P0C671
160140	ENSG00000166323	C11orf65	C11orf65	Q8NCR3
92346	ENSG00000180999	C1orf105	C1orf105	O95561
342346	ENSG00000205832	C16orf96	C16orf96	A6NNT2
201725	ENSG00000205208	C4orf46	C4orf46	Q504U0
84077	ENSG00000131379	C3orf20	C3orf20	Q8ND61
28970	ENSG00000182919	C11orf54	C11orf54	Q9H0W9
9710	ENSG00000166398	KIAA0355	KIAA0355	O15063
392843	ENSG00000278685	IQCA1L	IQCA1L	A6NCM1
60686	ENSG00000100802	C14orf93	C14orf93	Q9H972
653319	ENSG00000196123	KIAA0895L	KIAA0895L	Q68EN5
79864	ENSG00000109944	C11orf63	JHY	Q6NUN7
84162	ENSG00000138688	KIAA1109	KIAA1109	Q2LD37
56245	ENSG00000205929	C21orf62	C21orf62	Q9NYP8
201243	ENSG00000184560	C17orf74	SPEM2	Q0P670
388284	ENSG00000159761	C16orf86	C16orf86	Q6ZW13
9851	ENSG00000198920	KIAA0753	KIAA0753	Q2KHM9
257169	ENSG00000157653	C9orf43	C9orf43	Q8TAL5
441476	ENSG00000197768	C9orf173	STPG3	Q8N7X2
25912	ENSG00000143612	C1orf43	C1orf43	Q9BWL3
80183	ENSG00000102445	KIAA0226L	RUBCNL	Q9H714
23313	ENSG00000100364	KIAA0930	KIAA0930	Q6ICG6
57535	ENSG00000116299	KIAA1324	KIAA1324	Q6UXG2
80231	ENSG00000120280	CXorf21	CXorf21	Q9HAI6
127703	ENSG00000142686	C1orf216	C1orf216	Q8TAB5
64149	ENSG00000108666	C17orf75	C17orf75	Q9HAS0
132720	ENSG00000174749	C4orf32	FAM241A	Q8N8J7
55765	ENSG00000163362	C1orf106	INAVA	Q3KP66
388135	ENSG00000205363	C15orf59	C15orf59	Q2T9L4
55322	ENSG00000082213	C5orf22	C5orf22	Q49AR2
375057	ENSG00000203685	C1orf95	STUM	Q69YW2
374920	ENSG00000185453	C19orf68	ZSWIM9	Q86XI8
203197	ENSG00000157693	C9orf91	TMEM268	Q5VZI3
140873	ENSG00000125975	C20orf173	C20orf173	Q96LM9
51161	ENSG00000088543	C3orf18	C3orf18	Q9UK00
57604	ENSG00000250305	KIAA1456	KIAA1456	Q9P272
140680	ENSG00000196476	C20orf96	C20orf96	Q9NUD7
147339	ENSG00000152242	C18orf25	C18orf25	Q96B23
80017	ENSG00000133943	C14orf159	DGLUCY	Q7Z3D6
57020	ENSG00000103544	C16orf62	C16orf62	Q7Z3J2
135398	ENSG00000197261	C6orf141	C6orf141	Q5SZD1
79591	ENSG00000120029	C10orf76	C10orf76	Q5T2E6
85016	ENSG00000137691	C11orf70	C11orf70	Q9BRQ4
9729	ENSG00000189367	KIAA0408	KIAA0408	Q6ZU52
222223	ENSG00000164659	KIAA1324L	KIAA1324L	A8MWY0
54991	ENSG00000131591	C1orf159	C1orf159	Q96HA4
79568	ENSG00000162972	C2orf47	MAIP1	Q8WWC4
57608	ENSG00000165757	KIAA1462	JCAD	Q9P266
56951	ENSG00000113583	C5orf15	C5orf15	Q8NC54
23366	ENSG00000164542	KIAA0895	KIAA0895	Q8NCT3
541565	ENSG00000241852	C8orf58	C8orf58	Q8NAV2
158358	ENSG00000183354	KIAA2026	KIAA2026	Q5HYC2
23325	ENSG00000136051	KIAA1033	WASHC4	Q2M389
55337	ENSG00000130813	C19orf66	C19orf66	Q9NUL5
2	ENSG00000175899	A2M	A2M	P01023
642597	ENSG00000231824	C18orf42	AKAIN1	P0CW23
127550	ENSG00000184389	A3GALT2	A3GALT2	U3KPV4
339448	ENSG00000198912	C1orf174	C1orf174	Q8IYL3
388115	ENSG00000188549	C15orf52	CCDC9B	Q6ZUT6
53947	ENSG00000128274	A4GALT	A4GALT	Q9NPC4
51146	ENSG00000118017	A4GNT	A4GNT	Q9UNA3
400258	ENSG00000184601	C14orf180	C14orf180	Q8N912
100127206	ENSG00000186367	KIAA1024L	KIAA1024L	P59773
